"Town","FIPS","Year","Householder Status","Measure Type","Variable","Value"
"Ashford","0901501430","2006-2010","Homeowner","Percent","Cost-burdened Households",38.1
"Ashford","0901501430","2006-2010","Homeowner","Percent","Margins of Error",9.66
"Ashford","0901501430","2006-2010","Renter","Number","Cost-burdened Households",197
"Ashford","0901501430","2006-2010","Renter","Number","Margins of Error",73.35
"Ashford","0901501430","2006-2010","Renter","Percent","Cost-burdened Households",61.7
"Ashford","0901501430","2006-2010","Renter","Percent","Margins of Error",14.96
"Ashford","0901501430","2007-2011","All","Number","Cost-burdened Households",610
"Ashford","0901501430","2007-2011","All","Number","Margins of Error",160.55
"Ashford","0901501430","2007-2011","All","Percent","Cost-burdened Households",44.59
"Ashford","0901501430","2007-2011","All","Percent","Margins of Error",10.35
"Ashford","0901501430","2007-2011","Homeowner","Number","Cost-burdened Households",422
"Ashford","0901501430","2007-2011","Homeowner","Number","Margins of Error",146.48
"Ashford","0901501430","2007-2011","Homeowner","Percent","Cost-burdened Households",38.8
"Ashford","0901501430","2007-2011","Homeowner","Percent","Margins of Error",11.76
"Ashford","0901501430","2007-2011","Renter","Number","Cost-burdened Households",188
"Ashford","0901501430","2007-2011","Renter","Number","Margins of Error",65.73
"Ashford","0901501430","2007-2011","Renter","Percent","Cost-burdened Households",66.5
"Ashford","0901501430","2007-2011","Renter","Percent","Margins of Error",14.43
"Ashford","0901501430","2008-2012","All","Number","Cost-burdened Households",540
"Ashford","0901501430","2008-2012","All","Number","Margins of Error",138.88
"Ashford","0901501430","2008-2012","All","Percent","Cost-burdened Households",40.54
"Ashford","0901501430","2008-2012","All","Percent","Margins of Error",9.24
"Ashford","0901501430","2008-2012","Homeowner","Number","Cost-burdened Households",376
"Ashford","0901501430","2008-2012","Homeowner","Number","Margins of Error",121.61
"Ashford","0901501430","2008-2012","Homeowner","Percent","Cost-burdened Households",35.5
"Ashford","0901501430","2008-2012","Homeowner","Percent","Margins of Error",10.14
"Ashford","0901501430","2008-2012","Renter","Number","Cost-burdened Households",164
"Ashford","0901501430","2008-2012","Renter","Number","Margins of Error",67.08
"Ashford","0901501430","2008-2012","Renter","Percent","Cost-burdened Households",59.9
"Ashford","0901501430","2008-2012","Renter","Percent","Margins of Error",20.73
"Ashford","0901501430","2009-2013","All","Number","Cost-burdened Households",606
"Ashford","0901501430","2009-2013","All","Number","Margins of Error",138.02
"Ashford","0901501430","2009-2013","All","Percent","Cost-burdened Households",44.2
"Ashford","0901501430","2009-2013","All","Percent","Margins of Error",8.89
"Ashford","0901501430","2009-2013","Homeowner","Number","Cost-burdened Households",442
"Ashford","0901501430","2009-2013","Homeowner","Number","Margins of Error",123.22
"Ashford","0901501430","2009-2013","Homeowner","Percent","Cost-burdened Households",40.5
"Ashford","0901501430","2009-2013","Homeowner","Percent","Margins of Error",10
"Ashford","0901501430","2009-2013","Renter","Number","Cost-burdened Households",164
"Ashford","0901501430","2009-2013","Renter","Number","Margins of Error",62.17
"Ashford","0901501430","2009-2013","Renter","Percent","Cost-burdened Households",58.6
"Ashford","0901501430","2009-2013","Renter","Percent","Margins of Error",18.7
"Ashford","0901501430","2010-2014","All","Number","Cost-burdened Households",647
"Ashford","0901501430","2010-2014","All","Number","Margins of Error",142.21
"Ashford","0901501430","2010-2014","All","Percent","Cost-burdened Households",45.72
"Ashford","0901501430","2010-2014","All","Percent","Margins of Error",9.1
"Ashford","0901501430","2010-2014","Homeowner","Number","Cost-burdened Households",497
"Ashford","0901501430","2010-2014","Homeowner","Number","Margins of Error",127.42
"Ashford","0901501430","2010-2014","Homeowner","Percent","Cost-burdened Households",42.7
"Ashford","0901501430","2010-2014","Homeowner","Percent","Margins of Error",9.9
"Ashford","0901501430","2010-2014","Renter","Number","Cost-burdened Households",150
"Ashford","0901501430","2010-2014","Renter","Number","Margins of Error",63.15
"Ashford","0901501430","2010-2014","Renter","Percent","Cost-burdened Households",60.2
"Ashford","0901501430","2010-2014","Renter","Percent","Margins of Error",21.17
"Ashford","0901501430","2011-2015","All","Number","Cost-burdened Households",622
"Ashford","0901501430","2011-2015","All","Number","Margins of Error",131.67
"Ashford","0901501430","2011-2015","All","Percent","Cost-burdened Households",46.77
"Ashford","0901501430","2011-2015","All","Percent","Margins of Error",8.85
"Ashford","0901501430","2011-2015","Homeowner","Number","Cost-burdened Households",448
"Ashford","0901501430","2011-2015","Homeowner","Number","Margins of Error",117.6
"Ashford","0901501430","2011-2015","Homeowner","Percent","Cost-burdened Households",41
"Ashford","0901501430","2011-2015","Homeowner","Percent","Margins of Error",10.02
"Ashford","0901501430","2011-2015","Renter","Number","Cost-burdened Households",174
"Ashford","0901501430","2011-2015","Renter","Number","Margins of Error",59.23
"Ashford","0901501430","2011-2015","Renter","Percent","Cost-burdened Households",73.1
"Ashford","0901501430","2011-2015","Renter","Percent","Margins of Error",19.35
"Ashford","0901501430","2012-2016","All","Number","Cost-burdened Households",616
"Ashford","0901501430","2012-2016","All","Number","Margins of Error",132.97
"Ashford","0901501430","2012-2016","All","Percent","Cost-burdened Households",47.57
"Ashford","0901501430","2012-2016","All","Percent","Margins of Error",8.95
"Ashford","0901501430","2012-2016","Homeowner","Number","Cost-burdened Households",438
"Ashford","0901501430","2012-2016","Homeowner","Number","Margins of Error",113.74
"Ashford","0901501430","2012-2016","Homeowner","Percent","Cost-burdened Households",43.5
"Ashford","0901501430","2012-2016","Homeowner","Percent","Margins of Error",9.96
"Ashford","0901501430","2012-2016","Renter","Number","Cost-burdened Households",178
"Ashford","0901501430","2012-2016","Renter","Number","Margins of Error",68.88
"Ashford","0901501430","2012-2016","Renter","Percent","Cost-burdened Households",61.8
"Ashford","0901501430","2012-2016","Renter","Percent","Margins of Error",20.52
"Ashford","0901501430","2013-2017","All","Number","Cost-burdened Households",632
"Ashford","0901501430","2013-2017","All","Number","Margins of Error",150.1
"Ashford","0901501430","2013-2017","All","Percent","Cost-burdened Households",50.32
"Ashford","0901501430","2013-2017","All","Percent","Margins of Error",10.3
"Ashford","0901501430","2013-2017","Homeowner","Number","Cost-burdened Households",471
"Ashford","0901501430","2013-2017","Homeowner","Number","Margins of Error",133.15
"Ashford","0901501430","2013-2017","Homeowner","Percent","Cost-burdened Households",51
"Ashford","0901501430","2013-2017","Homeowner","Percent","Margins of Error",11.85
"Ashford","0901501430","2013-2017","Renter","Number","Cost-burdened Households",161
"Ashford","0901501430","2013-2017","Renter","Number","Margins of Error",69.29
"Ashford","0901501430","2013-2017","Renter","Percent","Cost-burdened Households",48.3
"Ashford","0901501430","2013-2017","Renter","Percent","Margins of Error",18.23
"Ashford","0901501430","2014-2018","All","Number","Cost-burdened Households",461
"Ashford","0901501430","2014-2018","All","Number","Margins of Error",112.67
"Ashford","0901501430","2014-2018","All","Percent","Cost-burdened Households",37.69
"Ashford","0901501430","2014-2018","All","Percent","Margins of Error",7.84
"Ashford","0901501430","2014-2018","Homeowner","Number","Cost-burdened Households",323
"Ashford","0901501430","2014-2018","Homeowner","Number","Margins of Error",93.3
"Ashford","0901501430","2014-2018","Homeowner","Percent","Cost-burdened Households",38.3
"Ashford","0901501430","2014-2018","Homeowner","Percent","Margins of Error",9.66
"Ashford","0901501430","2014-2018","Renter","Number","Cost-burdened Households",138
"Ashford","0901501430","2014-2018","Renter","Number","Margins of Error",63.16
"Ashford","0901501430","2014-2018","Renter","Percent","Cost-burdened Households",36.5
"Ashford","0901501430","2014-2018","Renter","Percent","Margins of Error",15.61
"Ashford","0901501430","2015-2019","All","Number","Cost-burdened Households",404
"Ashford","0901501430","2015-2019","All","Number","Margins of Error",118.81
"Ashford","0901501430","2015-2019","All","Percent","Cost-burdened Households",33.98
"Ashford","0901501430","2015-2019","All","Percent","Margins of Error",8.92
"Ashford","0901501430","2015-2019","Homeowner","Number","Cost-burdened Households",308
"Ashford","0901501430","2015-2019","Homeowner","Number","Margins of Error",104.81
"Ashford","0901501430","2015-2019","Homeowner","Percent","Cost-burdened Households",37.7
"Ashford","0901501430","2015-2019","Homeowner","Percent","Margins of Error",10.4
"Ashford","0901501430","2015-2019","Renter","Number","Cost-burdened Households",96
"Ashford","0901501430","2015-2019","Renter","Number","Margins of Error",55.95
"Ashford","0901501430","2015-2019","Renter","Percent","Cost-burdened Households",25.8
"Ashford","0901501430","2015-2019","Renter","Percent","Margins of Error",13.87
"Avon","0900302060","2006-2010","All","Number","Cost-burdened Households",1794
"Avon","0900302060","2006-2010","All","Number","Margins of Error",250.79
"Avon","0900302060","2006-2010","All","Percent","Cost-burdened Households",36.3
"Avon","0900302060","2006-2010","All","Percent","Margins of Error",4.65
"Avon","0900302060","2006-2010","Homeowner","Number","Cost-burdened Households",1286
"Avon","0900302060","2006-2010","Homeowner","Number","Margins of Error",213.08
"Avon","0900302060","2006-2010","Homeowner","Percent","Cost-burdened Households",33
"Avon","0900302060","2006-2010","Homeowner","Percent","Margins of Error",5.22
"Avon","0900302060","2006-2010","Renter","Number","Cost-burdened Households",508
"Avon","0900302060","2006-2010","Renter","Number","Margins of Error",132.25
"Avon","0900302060","2006-2010","Renter","Percent","Cost-burdened Households",48.8
"Avon","0900302060","2006-2010","Renter","Percent","Margins of Error",12.3
"Avon","0900302060","2007-2011","All","Number","Cost-burdened Households",1653
"Avon","0900302060","2007-2011","All","Number","Margins of Error",269.39
"Avon","0900302060","2007-2011","All","Percent","Cost-burdened Households",32.61
"Avon","0900302060","2007-2011","All","Percent","Margins of Error",4.96
"Avon","0900302060","2007-2011","Homeowner","Number","Cost-burdened Households",1177
"Avon","0900302060","2007-2011","Homeowner","Number","Margins of Error",232.61
"Avon","0900302060","2007-2011","Homeowner","Percent","Cost-burdened Households",29.7
"Avon","0900302060","2007-2011","Homeowner","Percent","Margins of Error",5.76
"Avon","0900302060","2007-2011","Renter","Number","Cost-burdened Households",476
